#{"t_start": 1637959101.1178849, "env_id": "NewHriEnv-v1"}
r,l,t
-40776.069163,200,10199.944712
-44506.673912,200,10210.986298
-58302.515688,200,10222.066249
-39250.503238,200,10233.098261
-33224.337705,200,10244.153648
-46654.198523,200,10255.201421
-34700.061503,200,10266.243575
-100668.339163,200,10277.285972
-43149.431106,200,10288.424806
-55366.595441,200,10299.480361
-61185.993256,200,10310.569307
-92109.290097,200,10321.606434
-46265.062213,200,10332.657779
-45891.367318,200,10343.723726
-29221.82954,200,10354.843493
-42850.920698,200,10365.891167
-40096.717553,200,10376.985105
-40436.548877,200,10388.04111
-31682.972386,200,10399.108285
-75315.842312,200,10410.216076
-51120.422108,200,10421.34463
-47999.690477,200,10432.396102
-44655.40041,200,10443.438692
-65650.259225,200,10454.490652
-75717.171195,200,10465.605667
-34095.091579,200,10476.708093
-56986.467595,200,10487.828445
-68648.285932,200,10498.879061
-74588.388383,200,10509.938359
-35072.48813,200,10520.999204
-39327.64686,200,10532.049593
-47507.456762,200,10543.18479
-44166.596937,200,10554.296058
-47868.980881,200,10565.407024
-51492.829334,200,10576.51682
-40613.49521,200,10587.634804
-35175.320005,200,10598.681469
-43608.866345,200,10609.808918
-40176.582292,200,10620.900237
-29568.770025,200,10631.952277
-29136.979247,200,10643.007028
-38181.568758,200,10654.057608
-31342.518027,200,10665.327902
-50245.483357,200,10676.497131
-54744.665496,200,10687.576255
-43365.129684,200,10698.65494
-31076.994495,200,10709.739907
-33421.815528,200,10720.83545
-39951.460445,200,10731.878158
-31449.132523,200,10742.934021
-35924.642515,200,10753.972889
-41059.637728,200,10765.072643
-46068.542915,200,10776.131995
-31524.816809,200,10787.308508
-37908.516925,200,10798.430045
-65566.971836,200,10809.523856
-45460.70689,200,10820.599771
-27875.775712,200,10831.630527
-27052.405342,200,10842.725986
-25596.091747,200,10853.795151
-34750.795188,200,10864.872816
-26148.159844,200,10876.029875
-37398.587735,200,10887.070533
-28648.750319,200,10898.182693
-24135.323771,200,10909.300909
-25294.264303,200,10920.426155
-24551.714584,200,10931.546938
-35909.530936,200,10942.612167
-25803.788512,200,10953.655474
-25246.506564,200,10964.808673
-25953.431017,200,10975.884785
-38000.440788,200,10986.952122
-26530.325528,200,10997.994985
-25163.287752,200,11009.040746
-30812.297746,200,11020.097918
-24685.292309,200,11031.189107
-23028.317277,200,11042.226129
-25956.003527,200,11053.265362
-23719.585928,200,11064.313316
