#{"t_start": 1637959101.1178849, "env_id": "NewHriEnv-v1"}
r,l,t
-2358.947301,200,1031.09234
-1821.358065,200,1042.191492
-1551.893401,200,1053.336177
-1758.438879,200,1064.537286
-1853.275742,200,1075.680614
-2422.543043,200,1086.84166
-2473.95209,200,1098.120072
-1768.330643,200,1109.31195
-1906.196957,200,1120.501235
-1611.180006,200,1131.707127
-1652.508431,200,1142.958498
-1789.76699,200,1154.187538
-1257.147908,200,1165.446467
-1038.356336,200,1176.608591
-1170.397612,200,1187.842899
-1091.485118,200,1199.102345
-1460.635654,200,1210.334405
-1240.293167,200,1221.537232
-932.995844,200,1232.747572
-830.147108,200,1243.934403
-973.884864,200,1255.119627
-1400.510663,200,1266.313559
-1614.399138,200,1277.496838
-1958.806854,200,1288.639029
-2481.179182,200,1299.799694
-1469.780099,200,1310.965317
-1299.468745,200,1322.153707
-1748.714301,200,1333.314366
-2483.505873,200,1344.489364
-5662.426953,200,1355.694286
-1531.822325,200,1366.877664
-916.260021,200,1378.018444
-725.501949,200,1389.200121
-940.761839,200,1400.349716
-1576.552513,200,1411.512983
-8515.369656,200,1422.710115
-562.802639,200,1433.887069
-758.54967,200,1445.020056
-989.853776,200,1456.246835
-1641.52879,200,1467.385185
-2695.016351,200,1478.604918
-6480.786857,200,1489.768054
-5977.692675,200,1500.916179
-4592.330236,200,1512.074527
-3957.743863,200,1523.211398
-9368.817338,200,1534.355484
-4259.062797,200,1545.611279
-5799.336751,200,1556.767489
-7362.748541,200,1567.907059
-5982.524468,200,1579.041178
-4138.697461,200,1590.301684
-3616.487553,200,1601.455312
-3835.64898,200,1612.585842
-3574.799413,200,1623.728624
-4162.29629,200,1634.876173
-3760.711391,200,1646.019029
-4048.105569,200,1657.170663
-2539.299132,200,1668.339808
-2423.581397,200,1679.473417
-2012.304823,200,1690.609203
-1414.685904,200,1701.749332
-1272.826061,200,1712.890331
-1107.022821,200,1724.058413
-1331.244023,200,1735.221038
-1382.573236,200,1746.363091
-1738.706402,200,1757.502392
-2739.569245,200,1768.661066
-2609.618714,200,1779.818769
-3675.803539,200,1790.957875
-1782.255877,200,1802.124927
-1424.046237,200,1813.297585
-1157.333614,200,1824.521665
-2534.256161,200,1835.779116
-2833.758114,200,1846.956695
-4648.266705,200,1858.121136
-1745.677373,200,1869.261934
-2449.159184,200,1880.420213
-2572.963921,200,1891.560233
-2360.936331,200,1902.704436
-3347.294133,200,1913.867525
-1250.708312,200,1925.014612
-2342.691245,200,1936.241392
-1074.788785,200,1947.428164
-2528.884255,200,1958.598985
-4281.21136,200,1969.781307
-3198.136638,200,1981.071011
-1624.004028,200,1992.254234
-1153.19293,200,2003.454772
-2763.044639,200,2014.637634
-2744.640565,200,2025.838547
-7403.004456,200,2037.055323
-6885.086337,200,2048.319848
-6281.148494,200,2059.477135
-33106.742342,200,2070.673365
-21722.931371,200,2081.817472
-4370.205719,200,2092.947922
-3086.421889,200,2104.193334
-6964.459474,200,2115.389977
-7538.88142,200,2126.54849
-6368.967783,200,2137.733808
-8041.254289,200,2148.909512
-17193.246295,200,2160.077801
-2905.78599,200,2171.254156
-2313.922949,200,2182.527247
-2935.36711,200,2193.692355
-2318.205246,200,2205.01358
-2114.960732,200,2216.189765
-2500.818252,200,2227.351312
-2635.382194,200,2238.557217
-2126.456957,200,2249.838895
-2352.565679,200,2261.131291
-3298.447064,200,2272.380718
-4179.262645,200,2283.546903
-3175.350055,200,2294.690111
-6134.084101,200,2305.839636
-4844.47652,200,2316.991619
-3630.992366,200,2328.167403
-4612.141265,200,2339.316124
-3194.887748,200,2350.473345
-4315.808834,200,2361.620934
-3881.119077,200,2372.768642
-2752.711596,200,2384.032746
-2880.361461,200,2395.299469
-5372.671558,200,2406.453424
-3099.956934,200,2417.679421
-2223.162759,200,2428.834558
-1998.937953,200,2440.052367
-1249.680524,200,2451.326517
-1914.418452,200,2462.481131
-1401.675418,200,2473.63205
-2132.663727,200,2484.86474
-4891.320703,200,2496.045569
-5248.273892,200,2507.238894
-5195.352038,200,2518.394342
-4393.359959,200,2529.56975
-1216.691972,200,2540.813598
-2180.820295,200,2552.061761
-2529.147684,200,2563.210852
-6348.80494,200,2574.36929
-8073.510494,200,2585.511108
-7499.693218,200,2596.653982
-5798.293476,200,2607.836712
-5636.70601,200,2618.978598
-3056.51615,200,2630.256204
-2854.841363,200,2641.433313
-8068.526573,200,2652.587614
-40829.244317,200,2663.777428
-29649.732608,200,2674.932585
-64899.945325,200,2686.081321
-52740.763478,200,2697.122775
-95416.148903,200,2708.143054
-50578.303583,200,2719.149073
-82084.153521,200,2730.204027
-53404.325505,200,2741.234658
-85392.370185,200,2752.333324
-45830.073808,200,2763.333101
-50535.164813,200,2774.346517
-76166.666266,200,2785.330678
-55569.04226,200,2796.351228
-47078.565176,200,2807.35745
-46425.378353,200,2818.466951
-43534.640771,200,2829.476561
